text,category,cleaned_text
Dining experience was bad because of the non-existent steak.,Food,dining experience bad nonexistent steak
The pasta was tasty.,Food,pasta tasty
Breakfast buffet had amazing rice.,Food,breakfast buffet amazing rice
The beverage selection was oily.,Food,beverage selection oily
We spent all day at the bar.,Recreation,spent day bar
Sleeping was hard because of the fridge.,Rooms,sleeping hard fridge
I ordered pizza and it tasted disappointing.,Food,ordered pizza tasted disappointing
My kids loved the entertainment.,Recreation,kid loved entertainment
Housekeeping did not clean the suite aesthetic.,Rooms,housekeeping not clean suite aesthetic
Swimming in the tennis court was the highlight.,Recreation,swimming tennis court highlight
The staff at the front desk were welcoming.,Services,staff front desk welcoming
"We loved the sheets, it was so modern.",Rooms,loved sheet modern
"We loved the lights, it was so smelly.",Rooms,loved light smelly
The staff at the front desk were rude.,Services,staff front desk rude
Bathroom decor was noisy.,Rooms,bathroom decor noisy
The hotel has a great club.,Recreation,hotel great club
Evening spa was overcrowded.,Recreation,evening spa overcrowded
"Service was professional, especially the bartender.",Services,service professional especially bartender
Bathroom lights was trapping.,Rooms,bathroom light trapping
The soup was bland.,Food,soup bland
Housekeeping did not clean the lights.,Rooms,housekeeping not clean light
Check-in was slow thanks to the concierge.,Services,checkin slow thanks concierge
Great tea but the salad was hot.,Food,great tea salad hot
Great cake but the cake was disappointing.,Food,great cake cake disappointing
The furniture in my room was terrible.,Rooms,furniture room terrible
The hotel has a great excursion.,Recreation,hotel great excursion
The dining presentation was overcooked.,Food,dining presentation overcooked
We waited too long for the manager.,Services,waited long manager
Housekeeping did not clean the furniture.,Rooms,housekeeping not clean furniture
Breakfast buffet had amazing rice.,Food,breakfast buffet amazing rice
The beer was tasty.,Food,beer tasty
We spent all day at the excursion.,Recreation,spent day excursion
We ate at the restaurant and had fish.,Food,ate restaurant fish
The staff at the front desk were professional.,Services,staff front desk professional
We waited too long for the receptionist.,Services,waited long receptionist
The sink made the stay comfortable.,Rooms,sink made stay comfortable
We spent all day at the bar.,Recreation,spent day bar
The TV made the stay dated.,Rooms,tv made stay dated
Breakfast buffet had amazing beverage selection.,Food,breakfast buffet amazing beverage selection
The wellness center area was expensive.,Recreation,wellness center area expensive
"Service was professional, especially the staff.",Services,service professional especially staff
Breakfast buffet had amazing buffet.,Food,breakfast buffet amazing buffet
The sauce was oily.,Food,sauce oily
Sleeping was hard because of the pillow.,Rooms,sleeping hard pillow
We waited too long for the manager.,Services,waited long manager
The lights made the stay comfortable.,Rooms,light made stay comfortable
Swimming in the kids club was the highlight.,Recreation,swimming kid club highlight
Housekeeping did not clean the wifi.,Rooms,housekeeping not clean wifi
Bathroom AC was smelly.,Rooms,bathroom ac smelly
Great steak but the pizza was raw.,Food,great steak pizza raw
The massage equipment was dirty.,Recreation,massage equipment dirty
Great steak but the burger was meager.,Food,great steak burger meager
"Don't miss the club, it is crowded.",Recreation,dont miss club crowded
"We loved the wifi, it was so comfortable.",Rooms,loved wifi comfortable
Sleeping was hard because of the toilet.,Rooms,sleeping hard toilet
Breakfast buffet had amazing pizza.,Food,breakfast buffet amazing pizza
We spent all day at the beach.,Recreation,spent day beach
The staff at the front desk were arrogant.,Services,staff front desk arrogant
We ate at the restaurant and had buffet.,Food,ate restaurant buffet
The fridge made the stay quiet.,Rooms,fridge made stay quiet
The fridge made the stay smelly.,Rooms,fridge made stay smelly
The dining presentation was hot.,Food,dining presentation hot
Great gastronomy but the rice was overcooked.,Food,great gastronomy rice overcooked
Sleeping was hard because of the sink.,Rooms,sleeping hard sink
The steak presentation was exquisite.,Food,steak presentation exquisite
The excursion area was cheap.,Recreation,excursion area cheap
"Service was attentive, especially the staff.",Services,service attentive especially staff
Our room was very smelly and had a great shower.,Rooms,room smelly great shower
The staff at the front desk were professional.,Services,staff front desk professional
I complained to the porter.,Services,complained porter
Evening club was overcrowded.,Recreation,evening club overcrowded
We ate at the restaurant and had dining.,Food,ate restaurant dining
The massage equipment was boring.,Recreation,massage equipment boring
Evening bar was expensive.,Recreation,evening bar expensive
The driver was very warm.,Services,driver warm
We ate at the restaurant and had steak.,Food,ate restaurant steak
Amazing hospitality from the staff.,Services,amazing hospitality staff
The staff at the front desk were professional.,Services,staff front desk professional
The bellboy was very welcoming.,Services,bellboy welcoming
Housekeeping did not clean the pillow.,Rooms,housekeeping not clean pillow
Amazing hospitality from the front desk agent.,Services,amazing hospitality front desk agent
"Don't miss the kids club, it is boring.",Recreation,dont miss kid club boring
Evening pool was relaxing.,Recreation,evening pool relaxing
Sleeping was hard because of the lights.,Rooms,sleeping hard light
I ordered dessert and it tasted mediocre.,Food,ordered dessert tasted mediocre
"Don't miss the gym, it is crowded.",Recreation,dont miss gym crowded
Amazing hospitality from the concierge.,Services,amazing hospitality concierge
The bar area was amazing.,Recreation,bar area amazing
The concierge was very slow.,Services,concierge slow
"The suite needs renovation, especially the fridge.",Rooms,suite need renovation especially fridge
The massage area was dangerous.,Recreation,massage area dangerous
Sleeping was hard because of the balcony.,Rooms,sleeping hard balcony
The spa equipment was amazing.,Recreation,spa equipment amazing
The pasta presentation was fresh.,Food,pasta presentation fresh
Check-in was welcoming thanks to the manager.,Services,checkin welcoming thanks manager
Breakfast buffet had amazing gastronomy.,Food,breakfast buffet amazing gastronomy
Check-in was helpful thanks to the concierge.,Services,checkin helpful thanks concierge
The sound insulation in my room was questionable.,Rooms,sound insulation room questionable
Dining experience was bad because of the delicious rice.,Food,dining experience bad delicious rice
Breakfast buffet had amazing protein.,Food,breakfast buffet amazing protein
The staff at the front desk were disinterested.,Services,staff front desk disinterested
Bathroom toilet was noisy.,Rooms,bathroom toilet noisy
Swimming in the pool was the highlight.,Recreation,swimming pool highlight
The concierge was very welcoming.,Services,concierge welcoming
Breakfast buffet had amazing gastronomy.,Food,breakfast buffet amazing gastronomy
Breakfast buffet had amazing bread.,Food,breakfast buffet amazing bread
We were greeted by a polite driver.,Services,greeted polite driver
Great rice but the pasta was yummy.,Food,great rice pasta yummy
The soup presentation was spicy.,Food,soup presentation spicy
Our room was very clean and had a great decor.,Rooms,room clean great decor
We ate at the restaurant and had buffet.,Food,ate restaurant buffet
The window made the stay modern.,Rooms,window made stay modern
The pool equipment was dangerous.,Recreation,pool equipment dangerous
The staff at the front desk were polite.,Services,staff front desk polite
The dining was meager.,Food,dining meager
Our room was very trapping and had a great bed.,Rooms,room trapping great bed
We spent all day at the tour.,Recreation,spent day tour
"Service was slow, especially the receptionist.",Services,service slow especially receptionist
The aquatic facility equipment was unsafe.,Recreation,aquatic facility equipment unsafe
The suite aesthetic made the stay terrible.,Rooms,suite aesthetic made stay terrible
We waited too long for the service personnel.,Services,waited long service personnel
Amazing hospitality from the hospitality team.,Services,amazing hospitality hospitality team
The lavatory made the stay dusty.,Rooms,lavatory made stay dusty
The cake presentation was raw.,Food,cake presentation raw
Dining experience was bad because of the undercooked pasta.,Food,dining experience bad undercooked pasta
We were greeted by a slow cleaning staff.,Services,greeted slow cleaning staff
Check-in was arrogant thanks to the driver.,Services,checkin arrogant thanks driver
The hotel has a great tennis court.,Recreation,hotel great tennis court
Our room was very trapping and had a great view.,Rooms,room trapping great view
Swimming in the beach was the highlight.,Recreation,swimming beach highlight
Dining experience was bad because of the oily rice.,Food,dining experience bad oily rice
Bathroom shower was questionable.,Rooms,bathroom shower questionable
Housekeeping did not clean the suite aesthetic.,Rooms,housekeeping not clean suite aesthetic
Room service brought us cold dessert.,Food,roomservice brought u cold dessert
Evening club was relaxing.,Recreation,evening club relaxing
The bed in my room was cozy.,Rooms,bed room cozy
Our room was very tiny and had a great lavatory.,Rooms,room tiny great lavatory
The furniture in my room was worn out.,Rooms,furniture room worn
Breakfast buffet had amazing coffee.,Food,breakfast buffet amazing coffee
I complained to the hospitality team.,Services,complained hospitality team
"Don't miss the excursion, it is lacking.",Recreation,dont miss excursion lacking
Check-in was rude thanks to the driver.,Services,checkin rude thanks driver
The fish was disappointing.,Food,fish disappointing
The gastronomy presentation was dry.,Food,gastronomy presentation dry
Housekeeping did not clean the TV.,Rooms,housekeeping not clean tv
Housekeeping did not clean the shower.,Rooms,housekeeping not clean shower
The suite aesthetic made the stay questionable.,Rooms,suite aesthetic made stay questionable
Dining experience was bad because of the greasy tea.,Food,dining experience bad greasy tea
"Service was disinterested, especially the porter.",Services,service disinterested especially porter
The view in my room was terrible.,Rooms,view room terrible
Sleeping was hard because of the carpet.,Rooms,sleeping hard carpet
Sleeping was hard because of the carpet.,Rooms,sleeping hard carpet
"We loved the wifi, it was so noisy.",Rooms,loved wifi noisy
Evening club was crowded.,Recreation,evening club crowded
The cake was raw.,Food,cake raw
The gastronomy presentation was overcooked.,Food,gastronomy presentation overcooked
"We loved the balcony, it was so old.",Rooms,loved balcony old
The staff at the front desk were arrogant.,Services,staff front desk arrogant
Breakfast buffet had amazing dining.,Food,breakfast buffet amazing dining
We were greeted by a unhelpful bellboy.,Services,greeted unhelpful bellboy
I ordered burger and it tasted yummy.,Food,ordered burger tasted yummy
We waited too long for the receptionist.,Services,waited long receptionist
Bathroom lavatory was noisy.,Rooms,bathroom lavatory noisy
Our room was very comfortable and had a great fridge.,Rooms,room comfortable great fridge
The fitness area equipment was clean.,Recreation,fitness area equipment clean
The pillow in my room was spacious.,Rooms,pillow room spacious
I ordered coffee and it tasted meager.,Food,ordered coffee tasted meager
We spent all day at the spa.,Recreation,spent day spa
Housekeeping did not clean the fridge.,Rooms,housekeeping not clean fridge
Housekeeping did not clean the acoustics.,Rooms,housekeeping not clean acoustic
I complained to the manager.,Services,complained manager
The burger presentation was non-existent.,Food,burger presentation nonexistent
Great tea but the menu options was meager.,Food,great tea menu option meager
The staff at the front desk were arrogant.,Services,staff front desk arrogant
I complained to the front desk agent.,Services,complained front desk agent
We spent all day at the spa.,Recreation,spent day spa
Our room was very smelly and had a great acoustics.,Rooms,room smelly great acoustic
Dining experience was bad because of the raw cake.,Food,dining experience bad raw cake
I ordered buffet and it tasted raw.,Food,ordered buffet tasted raw
