text,action,category,cleaned_text,char_count,word_count,sentiment_score
Misunderstanding about the room rate caused issues.,Staff Communication Training,Services,misunderstanding about the room rate caused issue,51,7,0
The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food,the food tasted slightly spoiled and smelled bad,49,8,-1
"Honestly, everything tastes like frozen food reheated.",Revise Menu Quality,Food,honestly everything taste like frozen food reheated,54,7,0
Not happy. Debris and leaves floating in the water.,Pool Maintenance,Recreation,not happy debris and leaf floating in the water,51,9,0
Feedback: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services,feedback misunderstanding about the room rate caused issue,61,8,0
Review: Housekeeper stole money from my wallet.,Disciplinary Action,Services,review housekeeper stole money from my wallet,47,7,0
Not happy. Lobby is chaotic and disorganized.,Review Check-in Process,Services,not happy lobby is chaotic and disorganized,45,7,0
Not happy. Restaurant manager was shouting at the staff.,Staff Training (Food),Food,not happy restaurant manager wa shouting at the staff,56,9,0
"Worst dining experience ever, I expect compensation. Terrible.",Compensate Guest,Food,worst dining experience ever i expect compensation terrible,62,8,-2
Feedback: Debris and leaves floating in the water.,Pool Maintenance,Recreation,feedback debris and leaf floating in the water,50,8,0
no water or towels available in the gym.,Update Gym Equipment,Recreation,no water or towel available in the gym,40,8,0
Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms,mosquito in the room kept me up all night,44,9,0
Action needed: Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food,action needed hygiene standard in the restaurant seem very low,65,10,0
Action needed: Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food,action needed hygiene standard in the restaurant seem very low,65,10,0
Not happy. The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food,not happy the buffet area looked unclean and messy,52,9,0
Not happy. The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food,not happy the food tasted slightly spoiled and smelled bad,60,10,-1
Called reception but no one answered the phone. Terrible.,Staff Communication Training,Services,called reception but no one answered the phone terrible,57,9,-1
"Honestly, room wasn't ready at 4 pm check-in time.",Review Check-in Process,Services,honestly room wasnt ready at pm checkin time,50,9,0
Concierge was unable to give simple directions.,Staff Communication Training,Services,concierge wa unable to give simple direction,47,7,0
The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,the pillow are lumpy and uncomfortable,40,6,0
"Honestly, debris and leaves floating in the water.",Pool Maintenance,Recreation,honestly debris and leaf floating in the water,50,8,0
Not happy. The server was rude when I asked for water.,Staff Training (Food),Food,not happy the server wa rude when i asked for water,54,11,-1
Review: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation,review pool ladder are loose and dangerous,45,7,0
System crashed during check-in.,Review Check-in Process,Services,system crashed during checkin,31,4,0
Staff member laughed at my complaint.,Disciplinary Action,Services,staff member laughed at my complaint,37,6,0
Not happy. Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,not happy waiter were ignoring u and chatting among themselves,66,10,0
Feedback: Pool shower wasn't working.,Pool Maintenance,Recreation,feedback pool shower wasnt working,37,5,0
Action needed: The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms,action needed the hairdryer provided is useless and overheating,65,9,0
The room is infested with insects. Terrible.,Pest Control Investigation,Rooms,the room is infested with insect terrible,44,7,-1
the hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms,the hairdryer provided is useless and overheating,50,7,0
Review: The waiter spilled soup on me and didn't apologize.,Staff Training (Food),Food,review the waiter spilled soup on me and didnt apologize,59,10,0
Debris and leaves floating in the water.,Pool Maintenance,Recreation,debris and leaf floating in the water,40,7,0
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food,feedback the bill included a service charge that wa not mentioned,68,11,0
Not happy. Cockroach in the shower.,Pest Control Investigation,Rooms,not happy cockroach in the shower,35,6,0
I think I saw a mouse behind the curtain. Terrible.,Pest Control Investigation,Rooms,i think i saw a mouse behind the curtain terrible,51,10,-1
concierge was unable to give simple directions.,Staff Communication Training,Services,concierge wa unable to give simple direction,47,7,0
staff member laughed at my complaint.,Disciplinary Action,Services,staff member laughed at my complaint,37,6,0
Feedback: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food,feedback glass had lipstick mark on it,41,7,0
Yoga mats are torn and dirty. Terrible.,Update Gym Equipment,Recreation,yoga mat are torn and dirty terrible,39,7,-2
It took 45 minutes just to check in.,Review Check-in Process,Services,it took minute just to check in,36,8,0
Not happy. Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms,not happy evidence of termite in the wooden furniture,56,9,0
The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food,the food tasted slightly spoiled and smelled bad,49,8,-1
"Honestly, the presentation of the dishes was poor.",Revise Menu Quality,Food,honestly the presentation of the dish wa poor,50,8,-1
Action needed: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,action needed air conditioner is loud and barely cool the room,65,11,0
Review: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation,review pool ladder are loose and dangerous,45,7,0
concierge was unable to give simple directions.,Staff Communication Training,Services,concierge wa unable to give simple direction,47,7,0
Action needed: Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms,action needed evidence of termite in the wooden furniture,60,9,0
Action needed: Activity director was rude to the guests.,Recreation Staff Review,Recreation,action needed activity director wa rude to the guest,56,9,-1
Staff member was smoking right outside the lobby door. Terrible.,Disciplinary Action,Services,staff member wa smoking right outside the lobby door terrible,64,10,-1
The presentation of the dishes was poor. Terrible.,Revise Menu Quality,Food,the presentation of the dish wa poor terrible,50,8,-2
"Honestly, staff got my order wrong three times.",Staff Training (Food),Food,honestly staff got my order wrong three time,47,8,0
Found trash from previous guests in the drawer. Terrible.,Deep Clean & Maintenance,Rooms,found trash from previous guest in the drawer terrible,57,9,-1
Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms,window were dirty and hard to see through,43,8,-1
Review: The pool water was cloudy and green.,Pool Maintenance,Recreation,review the pool water wa cloudy and green,44,8,0
Check-in line was huge and only one counter open.,Review Check-in Process,Services,checkin line wa huge and only one counter open,49,9,0
the server was rude when i asked for water.,Staff Training (Food),Food,the server wa rude when i asked for water,43,9,-1
They charged us for items we didn't order. Terrible.,Compensate Guest,Food,they charged u for item we didnt order terrible,52,9,-1
hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food,hygiene standard in the restaurant seem very low,50,8,0
Feedback: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation,feedback spa therapist wa chatting during the massage,56,8,0
Review: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,review i got food poisoning after eating the seafood,54,9,0
Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food,saw a cockroach near the kitchen entrance,42,7,0
Review: Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms,review bed bug bit me all over my leg,41,9,0
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food,feedback the server wa rude when i asked for water,53,10,-1
Feedback: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation,feedback spa therapist wa chatting during the massage,56,8,0
"Staff speaks very poor English, hard to communicate. Terrible.",Staff Communication Training,Services,staff speaks very poor english hard to communicate terrible,62,9,-2
Not happy. I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms,not happy i think i saw a mouse behind the curtain,52,11,0
Conflicting information from different staff members. Terrible.,Staff Communication Training,Services,conflicting information from different staff member terrible,63,7,-1
"Honestly, gym is too small for the number of guests.",Update Gym Equipment,Recreation,honestly gym is too small for the number of guest,52,10,-1
"Action needed: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,action needed need better lighting the room is too dim,57,10,0
Feedback: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club staff seemed bored and inattentive,55,8,0
Not happy. System crashed during check-in.,Review Check-in Process,Services,not happy system crashed during checkin,42,6,0
"towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,towel are thin scratchy and old,35,6,-1
Not happy. I want a refund for this terrible meal.,Compensate Guest,Food,not happy i want a refund for this terrible meal,50,10,-1
"Feedback: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,feedback need better lighting the room is too dim,52,9,0
Action needed: Check-in line was huge and only one counter open.,Review Check-in Process,Services,action needed checkin line wa huge and only one counter open,64,11,0
Action needed: Concierge was unable to give simple directions.,Staff Communication Training,Services,action needed concierge wa unable to give simple direction,62,9,0
Feedback:  Filtration system was making a loud noise.,Pool Maintenance,Recreation,feedback filtration system wa making a loud noise,53,8,0
