text,category,action
"Hotel needs more fun, activities was expensive.",Recreation,Upgrade Pool & Activities
Very incompetent behavior from the cleaning staff.,Services,Staff Training Required
The pizza was tasteless.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, curry was not fresh.",Food,Review Menu & Kitchen Quality
"We were bored, the spa needs an upgrade.",Recreation,Upgrade Pool & Activities
I ordered pasta but it smelled bad.,Food,Review Menu & Kitchen Quality
The AC makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, tennis court was small.",Recreation,Upgrade Pool & Activities
"Nothing to do here, entertainment is closed.",Recreation,Upgrade Pool & Activities
"Staff training is needed, cleaning staff was unhelpful.",Services,Staff Training Required
Room 201 has a moldy wifi.,Rooms,Inspect Room & Maintenance
The activities area is useless and needs attention.,Recreation,Upgrade Pool & Activities
I ordered pasta but it tasted terrible.,Food,Review Menu & Kitchen Quality
"Hotel needs more fun, kids club was crowded.",Recreation,Upgrade Pool & Activities
"We were bored, the gym needs an upgrade.",Recreation,Upgrade Pool & Activities
We found the coffee to be oily and salty.,Food,Review Menu & Kitchen Quality
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
The cleaning staff was extremely aggressive.,Services,Staff Training Required
"We had issues with the wifi, it was damp.",Rooms,Inspect Room & Maintenance
"Please fix the bed, it is clogged.",Rooms,Inspect Room & Maintenance
"Service was terrible, the bartender rolled their eyes.",Services,Staff Training Required
We found the chicken to be burned and tasteless.,Food,Review Menu & Kitchen Quality
We found the curry to be stale and oily.,Food,Review Menu & Kitchen Quality
"Service was terrible, the server refused to help.",Services,Staff Training Required
The bar area is closed and needs attention.,Recreation,Upgrade Pool & Activities
The guy at the gym was very unprofessional.,Services,Staff Training Required
"Terrible dining experience, breakfast made me sick.",Food,Review Menu & Kitchen Quality
"Please fix the balcony, it is damp.",Rooms,Inspect Room & Maintenance
The waiter was extremely lazy.,Services,Staff Training Required
I asked for a towel at the pool but the staff argued with us.,Services,Staff Training Required
"Hotel needs more fun, bar was crowded.",Recreation,Upgrade Pool & Activities
"Food quality is salty, especially the breakfast.",Food,Review Menu & Kitchen Quality
I cannot get the window to open.,Rooms,Inspect Room & Maintenance
The door in my room was stained.,Rooms,Inspect Room & Maintenance
"Staff training is needed, bartender was unhelpful.",Services,Staff Training Required
"Kitchen needs improvement, steak was dry.",Food,Review Menu & Kitchen Quality
I cannot get the window to open.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, tennis court was dirty.",Recreation,Upgrade Pool & Activities
"Service was terrible, the receptionist refused to help.",Services,Staff Training Required
The guy at the pool was very impolite.,Services,Staff Training Required
"We were bored, the beach needs an upgrade.",Recreation,Upgrade Pool & Activities
The coffee was raw.,Food,Review Menu & Kitchen Quality
The sheets in my room was broken.,Rooms,Inspect Room & Maintenance
"Food quality is oily, especially the rice.",Food,Review Menu & Kitchen Quality
We were treated poorly by a aggressive staff.,Services,Staff Training Required
The room smells like sewage.,Rooms,Inspect Room & Maintenance
"Disappointed with the spa, it was dirty.",Recreation,Upgrade Pool & Activities
"We had issues with the fridge, it was moldy.",Rooms,Inspect Room & Maintenance
The music area is boring and needs attention.,Recreation,Upgrade Pool & Activities
Nobody at the bar seemed interested in serving us.,Services,Staff Training Required
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
The activities was very crowded.,Recreation,Upgrade Pool & Activities
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
Very angry behavior from the staff.,Services,Staff Training Required
"We had issues with the wifi, it was damp.",Rooms,Inspect Room & Maintenance
I cannot get the safe to close.,Rooms,Inspect Room & Maintenance
"Bathroom was disgusting, AC was clogged.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, curry was raw.",Food,Review Menu & Kitchen Quality
"Food quality is bland, especially the coffee.",Food,Review Menu & Kitchen Quality
"Hotel needs more fun, gym was outdated.",Recreation,Upgrade Pool & Activities
I cannot get the window to lock.,Rooms,Inspect Room & Maintenance
Nobody at the pool bar seemed interested in serving us.,Services,Staff Training Required
"Nothing to do here, beach is expensive.",Recreation,Upgrade Pool & Activities
We were treated poorly by a unprofessional receptionist.,Services,Staff Training Required
"Hotel needs more fun, tennis court was cold.",Recreation,Upgrade Pool & Activities
The kids club area is cold and needs attention.,Recreation,Upgrade Pool & Activities
"Disappointed with the gym, it was outdated.",Recreation,Upgrade Pool & Activities
The room smells like mildew.,Rooms,Inspect Room & Maintenance
We found the soup to be raw and inadible.,Food,Review Menu & Kitchen Quality
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
I asked for a towel at the pool but the staff forgot our order.,Services,Staff Training Required
I ordered pizza but it lacked flavor.,Food,Review Menu & Kitchen Quality
I ordered coffee but it was not good.,Food,Review Menu & Kitchen Quality
We found the cake to be salty and salty.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, curry was disappointing.",Food,Review Menu & Kitchen Quality
"Service was terrible, the concierge argued with us.",Services,Staff Training Required
I cannot get the window to lock.,Rooms,Inspect Room & Maintenance
The server was extremely unprofessional.,Services,Staff Training Required
I cannot get the main door to open.,Rooms,Inspect Room & Maintenance
"Staff training is needed, cleaning staff was unhelpful.",Services,Staff Training Required
I cannot get the main door to lock.,Rooms,Inspect Room & Maintenance
"Terrible dining experience, coffee was disappointing.",Food,Review Menu & Kitchen Quality
"Terrible dining experience, buffet was disappointing.",Food,Review Menu & Kitchen Quality
Room 201 has a smelly lock.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, games was useless.",Recreation,Upgrade Pool & Activities
Very unfriendly behavior from the concierge.,Services,Staff Training Required
The gym was very small.,Recreation,Upgrade Pool & Activities
The cleaning staff was extremely angry.,Services,Staff Training Required
I ordered pizza but it was disappointing.,Food,Review Menu & Kitchen Quality
"Food quality is inadible, especially the buffet.",Food,Review Menu & Kitchen Quality
"Nothing to do here, music is dirty.",Recreation,Upgrade Pool & Activities
I cannot get the safe to open.,Rooms,Inspect Room & Maintenance
"Disappointed with the spa, it was empty.",Recreation,Upgrade Pool & Activities
Nobody at the pool bar seemed interested in serving us.,Services,Staff Training Required
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
The music area is cold and needs attention.,Recreation,Upgrade Pool & Activities
"Nothing to do here, bar is cold.",Recreation,Upgrade Pool & Activities
There is a weird dripping sound coming from the AC.,Rooms,Inspect Room & Maintenance
"Staff training is needed, employee was unprofessional.",Services,Staff Training Required
"Service was terrible, the manager forgot our order.",Services,Staff Training Required
I ordered rice but it smelled bad.,Food,Review Menu & Kitchen Quality
"Disappointed with the entertainment, it was small.",Recreation,Upgrade Pool & Activities
There is a weird dripping sound coming from the AC.,Rooms,Inspect Room & Maintenance
The spa area is small and needs attention.,Recreation,Upgrade Pool & Activities
The guy at the tennis court was very mean.,Services,Staff Training Required
"Nothing to do here, gym is empty.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, entertainment was outdated.",Recreation,Upgrade Pool & Activities
I cannot get the window to lock.,Rooms,Inspect Room & Maintenance
Room 201 has a old lights.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, bar was cold.",Recreation,Upgrade Pool & Activities
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
"Bathroom was disgusting, wifi was dusty.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, chicken was raw.",Food,Review Menu & Kitchen Quality
"We were bored, the games needs an upgrade.",Recreation,Upgrade Pool & Activities
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
The bed makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Food quality is burned, especially the coffee.",Food,Review Menu & Kitchen Quality
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
There is a weird dripping sound coming from the AC.,Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff ignored us.,Services,Staff Training Required
The fish was awful.,Food,Review Menu & Kitchen Quality
"Room maintenance is poor, sheets kept making noise.",Rooms,Inspect Room & Maintenance
I ordered soup but it tasted terrible.,Food,Review Menu & Kitchen Quality
I complained to the concierge but they refused to help.,Services,Staff Training Required
"Kitchen needs improvement, coffee was bland.",Food,Review Menu & Kitchen Quality
We found the curry to be undercooked and cold.,Food,Review Menu & Kitchen Quality
"Service was terrible, the manager was on their phone.",Services,Staff Training Required
Nobody at the bar seemed interested in serving us.,Services,Staff Training Required
"Room maintenance is poor, lock kept failing.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, steak was greasy.",Food,Review Menu & Kitchen Quality
The carpet smells like mildew.,Rooms,Inspect Room & Maintenance
"We were bored, the games needs an upgrade.",Recreation,Upgrade Pool & Activities
"Nothing to do here, bar is small.",Recreation,Upgrade Pool & Activities
"We were bored, the bar needs an upgrade.",Recreation,Upgrade Pool & Activities
The wifi makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Food quality is undercooked, especially the curry.",Food,Review Menu & Kitchen Quality
"Bathroom was disgusting, window was smells like dog.",Rooms,Inspect Room & Maintenance
"Hotel needs more fun, tennis court was expensive.",Recreation,Upgrade Pool & Activities
"Nothing to do here, activities is small.",Recreation,Upgrade Pool & Activities
"We were bored, the tennis court needs an upgrade.",Recreation,Upgrade Pool & Activities
The bar was very empty.,Recreation,Upgrade Pool & Activities
"Service was terrible, the receptionist did check on us.",Services,Staff Training Required
I asked for a towel at the pool but the staff yelled at me.,Services,Staff Training Required
"Service was terrible, the employee rolled their eyes.",Services,Staff Training Required
The tennis court area is small and needs attention.,Recreation,Upgrade Pool & Activities
"Food quality is oily, especially the cake.",Food,Review Menu & Kitchen Quality
The wifi makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Service was terrible, the bellboy forgot our order.",Services,Staff Training Required
The breakfast was stale.,Food,Review Menu & Kitchen Quality
"Nothing to do here, kids club is outdated.",Recreation,Upgrade Pool & Activities
Nobody at the bar seemed interested in serving us.,Services,Staff Training Required
"Please fix the TV, it is stained.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, soup was inadible.",Food,Review Menu & Kitchen Quality
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
Very aggressive behavior from the concierge.,Services,Staff Training Required
"Please fix the lights, it is wet.",Rooms,Inspect Room & Maintenance
The games was very closed.,Recreation,Upgrade Pool & Activities
The manager was extremely incompetent.,Services,Staff Training Required
We were treated poorly by a arrogant cleaning staff.,Services,Staff Training Required
"Service was terrible, the bartender rolled their eyes.",Services,Staff Training Required
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
The manager was extremely arrogant.,Services,Staff Training Required
I complained to the cleaning staff but they refused to help.,Services,Staff Training Required
"Please fix the fan, it is stained.",Rooms,Inspect Room & Maintenance
"Terrible dining experience, dessert lacked flavor.",Food,Review Menu & Kitchen Quality
Very angry behavior from the receptionist.,Services,Staff Training Required
Very mean behavior from the server.,Services,Staff Training Required
I ordered pizza but it lacked flavor.,Food,Review Menu & Kitchen Quality
"Bathroom was disgusting, balcony was clogged.",Rooms,Inspect Room & Maintenance
We found the pasta to be awful and inadible.,Food,Review Menu & Kitchen Quality
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
"Disappointed with the tennis court, it was dirty.",Recreation,Upgrade Pool & Activities
The fridge in my room was wet.,Rooms,Inspect Room & Maintenance
"Disappointed with the bar, it was boring.",Recreation,Upgrade Pool & Activities
I asked for a towel at the pool but the staff refused to help.,Services,Staff Training Required
The dessert was inadible.,Food,Review Menu & Kitchen Quality
"Disappointed with the tennis court, it was closed.",Recreation,Upgrade Pool & Activities
Very arrogant behavior from the server.,Services,Staff Training Required
"Food quality is salty, especially the curry.",Food,Review Menu & Kitchen Quality
"Service was terrible, the concierge forgot our order.",Services,Staff Training Required
"Food quality is raw, especially the buffet.",Food,Review Menu & Kitchen Quality
"Staff training is needed, bellboy was arrogant.",Services,Staff Training Required
The soup was salty.,Food,Review Menu & Kitchen Quality
"Food quality is awful, especially the pizza.",Food,Review Menu & Kitchen Quality
I complained to the waiter but they forgot our order.,Services,Staff Training Required
The cake was oily.,Food,Review Menu & Kitchen Quality
We were treated poorly by a unfriendly bellboy.,Services,Staff Training Required
"We were bored, the kids club needs an upgrade.",Recreation,Upgrade Pool & Activities
"Zero service at the rooftop bar, we waited 20 mins.",Services,Staff Training Required
We found the cake to be salty and undercooked.,Food,Review Menu & Kitchen Quality
"We had issues with the fridge, it was damp.",Rooms,Inspect Room & Maintenance
"Food quality is overcooked, especially the cake.",Food,Review Menu & Kitchen Quality
"We were bored, the pool needs an upgrade.",Recreation,Upgrade Pool & Activities
"Please fix the toilet, it is wont lock.",Rooms,Inspect Room & Maintenance
The cleaning staff was extremely unfriendly.,Services,Staff Training Required
"Kitchen needs improvement, rice was salty.",Food,Review Menu & Kitchen Quality
"We had issues with the air conditioner, it was wont lock.",Rooms,Inspect Room & Maintenance
"We had issues with the sheets, it was smelly.",Rooms,Inspect Room & Maintenance
We found the dessert to be tasteless and greasy.,Food,Review Menu & Kitchen Quality
We found the pasta to be tasteless and salty.,Food,Review Menu & Kitchen Quality
"Staff training is needed, cleaning staff was unprofessional.",Services,Staff Training Required
"Terrible dining experience, steak was not fresh.",Food,Review Menu & Kitchen Quality
I asked for a towel at the pool but the staff was on their phone.,Services,Staff Training Required
"Bathroom was disgusting, sheets was leaking.",Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff did check on us.,Services,Staff Training Required
"Disappointed with the tennis court, it was crowded.",Recreation,Upgrade Pool & Activities
"Terrible dining experience, coffee made me sick.",Food,Review Menu & Kitchen Quality
"We were bored, the activities needs an upgrade.",Recreation,Upgrade Pool & Activities
We found the pasta to be dry and burned.,Food,Review Menu & Kitchen Quality
The rice was inadible.,Food,Review Menu & Kitchen Quality
The shower makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"We had issues with the fan, it was damaged.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, curry was dry.",Food,Review Menu & Kitchen Quality
