text,category
"The room was dirty and had a terrible smell. Sheets were not changed.",Rooms
"Food was cold when it arrived. The steak was overcooked and tasteless.",Food
"Staff at the front desk were very rude and unhelpful during check-in.",Services
"The pool was freezing cold and the water looked dirty.",Recreation
"Outstanding service! The staff went above and beyond to help us.",Services
"Breakfast buffet had amazing variety and everything was fresh and delicious.",Food
"Our suite was spacious, clean, and beautifully decorated. Loved it!",Rooms
"The gym equipment is old and half the machines don't work properly.",Recreation
"Room service took 2 hours to deliver a simple sandwich. Unacceptable.",Food
"The air conditioning in our room was broken and it was very hot.",Rooms
"Reception staff lost our booking and made us wait for 45 minutes.",Services
"Tennis court was poorly maintained with cracks everywhere.",Recreation
"Found a cockroach in the bathroom. Absolutely disgusting!",Rooms
"The restaurant manager was shouting at the staff in front of guests.",Food
"WiFi signal was too weak to do any work. Very frustrating.",Rooms
"Kids club activities were boring and staff seemed disinterested.",Recreation
"Concierge gave us wrong directions and was very unprofessional.",Services
"The pasta was undercooked and the sauce tasted like it came from a jar.",Food
"Yoga mats in the fitness center were torn and dirty.",Recreation
"Housekeeper forgot to clean our room for 2 days despite requests.",Rooms
"Front desk couldn't answer basic questions about hotel facilities.",Services
"Breakfast was amazing! Fresh pastries and excellent coffee.",Food
"The spa treatments were relaxing and the therapist was very skilled.",Recreation
"Check-out process was quick and efficient. Great experience overall.",Services
"Room had beautiful ocean view and was exactly as advertised.",Rooms
"The rooftop bar has an incredible atmosphere and great cocktails.",Food
"Pool area was clean and well-maintained with attentive lifeguards.",Recreation
"Bellboy was extremely helpful with our luggage and very friendly.",Services
"Bed was uncomfortable and pillows were lumpy. Couldn't sleep well.",Rooms
"Waited 30 minutes for someone to answer the reception phone.",Services
"The sushi at the Japanese restaurant was fresh and delicious.",Food
"Sauna was broken and gym was overcrowded. Very disappointing.",Recreation
"Staff member was caught smoking right outside the lobby entrance.",Services
"Tiles around the pool were broken and sharp. Safety hazard!",Recreation
"The menu options are very limited and portions are too small.",Food
"Elevator was out of order for our entire 3-day stay. Had to use stairs.",Rooms
"Night manager was extremely unprofessional and refused to help.",Services
"Everything tastes like reheated frozen food. Not worth the price.",Food
"There were flies buzzing around our room constantly.",Rooms
"Activity director was rude to guests during the beach games.",Recreation
